"Species","Limb_width","Limb_length","Observer"
"Pinus banksiana",3.89359926711768,0.344202904962003,"Mabel"
"Amaranthus palmeria",3.84455651976168,3.72856463957578,"Maria Jose"
"Lythrum salicaria",2.50014337152243,1.55414244532585,"Mabel"
"Pinus banksiana",1.65512242633849,1.85364460200071,"Maria Jose"
"Allaria petiolata",3.2685183333233,3.46208978816867,"Mabel"
"Pinus banksiana",3.93219721131027,0.588903537020087,"Mia"
"Amaranthus palmeria",1.18527045380324,3.374532350339,"Maria Jose"
"Allaria petiolata",3.07105519622564,3.90038484614342,"Mabel"
"Allaria petiolata",3.70475412625819,1.15536380559206,"Mabel"
"Allaria petiolata",0.735688247717917,1.56538916286081,"Mabel"
"Allaria petiolata",1.48246924672276,3.11163465119898,"Maria Jose"
"Lythrum salicaria",1.95423548389226,2.58943429589272,"Mabel"
"Amaranthus palmeria",1.79785966686904,1.68627531733364,"Mia"
"Amaranthus palmeria",3.25433823466301,0.765135197900236,"Mabel"
"Pinus contorta",3.61721705365926,2.81354668084532,"Mabel"
"Pinus contorta",1.3563038976863,3.98713468015194,"Mabel"
"Amaranthus palmeria",0.601562572643161,2.33545380923897,"Mia"
"Amaranthus palmeria",3.26371000614017,2.92241922486573,"Maria Jose"
"Lythrum salicaria",2.86422838363796,1.57117689494044,"Mabel"
"Amaranthus palmeria",3.95454299263656,0.556044143624604,"Mabel"
"Lythrum salicaria",3.20289485994726,2.08560367766768,"Maria Jose"
"Amaranthus palmeria",3.70203065034002,1.84333850257099,"Maria Jose"
"Allaria petiolata",3.39558005426079,0.311309143900871,"Maria Jose"
"Lythrum salicaria",0.27775998134166,2.97396778129041,"Mabel"
"Lythrum salicaria",1.39569242019206,2.36098749190569,"Maria Jose"
"Lythrum salicaria",2.55303203873336,3.9574287366122,"Maria Jose"
"Amaranthus palmeria",0.0210490031167865,0.822595603764057,"Maria Jose"
"Pinus banksiana",1.58347711525857,0.890549710020423,"Mabel"
"Allaria petiolata",1.95537520386279,2.35451546963304,"Mia"
"Lythrum salicaria",3.80656265839934,0.00978028494864702,"Mia"
"Amaranthus palmeria",1.2813975950703,1.9468681672588,"Mia"
"Pinus contorta",2.93090928904712,0.186783198267221,"Maria Jose"
"Pinus contorta",1.32171634864062,2.75747538451105,"Mia"
"Amaranthus palmeria",1.37379766814411,3.70842193998396,"Mia"
"Pinus contorta",3.77668876107782,0.238298228941858,"Maria Jose"
"Pinus contorta",2.31744767725468,1.10743567999452,"Maria Jose"
"Amaranthus palmeria",1.8678679279983,0.443288658745587,"Mabel"
"Pinus banksiana",1.18382322322577,1.50744358915836,"Mia"
"Pinus banksiana",2.47875115089118,3.82219915371388,"Mia"
"Lythrum salicaria",2.24486767500639,3.32427314948291,"Mabel"
"Amaranthus palmeria",1.66626559942961,3.97457819711417,"Mia"
"Amaranthus palmeria",0.745105529204011,0.980438569560647,"Maria Jose"
"Pinus banksiana",0.278912696987391,2.69282905757427,"Mabel"
"Allaria petiolata",0.41419392824173,2.22079917695373,"Mabel"
"Pinus banksiana",2.12073495704681,2.17562384251505,"Maria Jose"
"Lythrum salicaria",2.71984697692096,2.64918233640492,"Mabel"
"Allaria petiolata",0.849331909790635,1.67676052264869,"Mabel"
"Pinus banksiana",0.666680213063955,2.54695224296302,"Mabel"
"Allaria petiolata",3.37285762745887,0.315073948353529,"Mabel"
"Amaranthus palmeria",3.66989920008928,1.85860277432948,"Mia"
"Amaranthus palmeria",1.26570228487253,0.602222276851535,"Maria Jose"
"Pinus contorta",3.65773412957788,1.15724013186991,"Mabel"
"Allaria petiolata",2.88030049670488,3.546645430848,"Maria Jose"
"Amaranthus palmeria",1.23829567525536,2.90389764960855,"Mia"
"Pinus contorta",1.1918594641611,1.47163061611354,"Mabel"
"Lythrum salicaria",1.10337239317596,1.73415108118206,"Mabel"
"Pinus contorta",2.77040550857782,1.50251833349466,"Maria Jose"
"Lythrum salicaria",3.35587189812213,2.01304947771132,"Mia"
"Pinus banksiana",1.54779308754951,1.71567744389176,"Mia"
"Allaria petiolata",0.273741305805743,3.6896314797923,"Mia"
"Pinus banksiana",1.93571237288415,2.70365991722792,"Mabel"
"Allaria petiolata",0.388701529242098,2.37781902682036,"Maria Jose"
"Allaria petiolata",1.95888804644346,1.71397081576288,"Mabel"
"Allaria petiolata",1.0586372576654,0.169861872680485,"Mabel"
"Amaranthus palmeria",1.58332403749228,1.1191553240642,"Mia"
"Amaranthus palmeria",0.412137745879591,0.0154754547402263,"Mabel"
"Allaria petiolata",2.65172077994794,1.41803490836173,"Mabel"
"Pinus contorta",2.56663464847952,3.6292715864256,"Mabel"
"Pinus banksiana",2.81753886584193,0.768522307276726,"Mabel"
"Allaria petiolata",1.60178493335843,2.79730423912406,"Mia"
"Pinus contorta",3.68343855440617,2.29790983442217,"Mabel"
"Amaranthus palmeria",2.22793382126838,0.35879775788635,"Maria Jose"
"Allaria petiolata",3.44752779882401,1.67469020839781,"Maria Jose"
"Pinus banksiana",0.217735075391829,0.796493545174599,"Maria Jose"
"Allaria petiolata",0.287656771950424,1.14311823062599,"Maria Jose"
"Pinus contorta",3.14225377235562,0.263076573610306,"Mabel"
"Pinus contorta",0.407863583415747,2.35792324692011,"Mia"
"Allaria petiolata",3.95402473863214,3.73960631433874,"Maria Jose"
"Lythrum salicaria",3.57928622048348,1.9084375500679,"Mabel"
"Amaranthus palmeria",2.58811419922858,2.89125688187778,"Mabel"
"Pinus contorta",3.14706246275455,1.91952925454825,"Mia"
"Amaranthus palmeria",3.85298456531018,3.71157667599618,"Mia"
"Allaria petiolata",2.31819477677345,1.49002652894706,"Mabel"
"Pinus contorta",0.819039711728692,1.53535614535213,"Mia"
"Pinus banksiana",0.920480865985155,1.94749452732503,"Mabel"
"Amaranthus palmeria",3.64352035615593,2.41201607789844,"Maria Jose"
"Pinus banksiana",1.83031960856169,2.71068101655692,"Mia"
"Allaria petiolata",0.355555319227278,2.60291503835469,"Maria Jose"
"Allaria petiolata",0.16751884482801,0.0318497261032462,"Maria Jose"
"Amaranthus palmeria",0.0557211246341467,2.33192212507129,"Mabel"
"Allaria petiolata",2.58781913481653,3.83768225740641,"Mabel"
"Pinus banksiana",3.58399177901447,2.91029410809278,"Mabel"
"Amaranthus palmeria",2.68200197815895,3.06478251423687,"Maria Jose"
"Amaranthus palmeria",0.349172954447567,1.54445159249008,"Mia"
"Allaria petiolata",2.58035343699157,0.620727767236531,"Maria Jose"
"Allaria petiolata",3.21180776041001,3.54920695722103,"Mabel"
"Pinus banksiana",0.601306344382465,3.04878608509898,"Mia"
"Amaranthus palmeria",0.590597615577281,1.76615666504949,"Mabel"
"Lythrum salicaria",0.275131064467132,0.645135256461799,"Maria Jose"
"Allaria petiolata",1.46916032582521,1.15551444236189,"Maria Jose"
